"bill_date","bill_time","bill_no","member_id","sku_code","sku_name","qty","sales"
2022-09-07,"11:17:24  น.","e76360ed","",7009018,"ลาเต้เย็น 240 ml#ขวด",1,79.8579
2022-09-07,"08:35:22  น.","a6bd1288","14bc04ee",7009018,"ลาเต้เย็น 240 ml#ขวด",1,79.8579
2022-09-07,"08:51:39  น.","ac1311ce","",7009018,"ลาเต้เย็น 240 ml#ขวด",1,79.8579
2022-09-07,"14:22:55  น.","4f889f95","8e60e131",7009018,"ลาเต้เย็น 240 ml#ขวด",1,79.8579
2022-09-07,"17:23:21  น.","69cb0d58","2c156018",7009017,"อเมริกาโน่เย็น 240 ml#ขวด",1,79.8579
2022-09-07,"14:04:24  น.","ef83c733","db7a4d98",7009018,"ลาเต้เย็น 240 ml#ขวด",2,154.7158
2022-09-07,"14:18:51  น.","dde141c4","c663d1fe",7009017,"อเมริกาโน่เย็น 240 ml#ขวด",1,79.8579
2022-09-07,"12:37:18  น.","52094ab4","0d822403",7023047,"สลัดแร็ปปลานิลอินทรีย์",1,117.2824
2022-09-07,"12:37:18  น.","52094ab4","0d822403",7001052,"Immune Booster",2,204.627
2022-09-07,"12:40:38  น.","6848b8c8","",7023050,"สลัดแร็ปหมูย่าง",1,117.2913
2022-09-07,"13:51:11  น.","496c4bdd","d22dbafb",7023047,"สลัดแร็ปปลานิลอินทรีย์",1,117.2913
2022-09-07,"16:20:07  น.","6c8fcebf","",7023050,"สลัดแร็ปหมูย่าง",1,117.3002
2022-09-07,"16:49:59  น.","6b866663","",7023038,"L-สลัดผักย่างอินทรีย์",1,138.0817
2022-09-07,"17:54:15  น.","cbfe1281","9872e562",7023039,"L-สลัดธัญพืช",1,138.0817
2022-09-07,"17:57:33  น.","f07d8aca","d138b13d",7023053,"สลัดแร็ปเทมเป้",1,117.2913
2022-09-07,"17:59:09  น.","f23b3493","a4ced1d2",7023036,"M-สลัดหมูหลุมย่าง",1,104.8135
2022-09-07,"17:59:09  น.","f23b3493","a4ced1d2",7023034,"M-สลัดผักย่างอินทรีย์",1,104.8135
2022-09-07,"11:26:54  น.","86d16297","",7023051,"สลัดแร็ปอกไก่ย่าง",1,117.2913
2022-09-07,"11:43:01  น.","839e7412","684b2569",7023048,"สลัดอะโวคาโด",1,158.881
2022-09-07,"11:50:59  น.","b81dec59","87bafc28",7022021,"ซุปผักโขม",1,75.7016
2022-09-07,"11:50:59  น.","b81dec59","87bafc28",7022024,"ซุปแครอทขิง",1,75.7016
2022-09-07,"12:57:49  น.","801aa07c","e1bfd873",7004042,"คาปูชิโน่เย็น",1,84.0231
2022-09-07,"13:06:04  น.","bb993837","",7023036,"M-สลัดหมูหลุมย่าง",1,104.8135
2022-09-07,"13:10:17  น.","ba5b5200","4f41e3e4",7023047,"สลัดแร็ปปลานิลอินทรีย์",1,117.2913
2022-09-07,"13:17:25  น.","b107153d","",7023039,"L-สลัดธัญพืช",1,138.0817
2022-09-07,"15:45:17  น.","93a73246","",7023051,"สลัดแร็ปอกไก่ย่าง",1,117.2913
2022-09-07,"15:51:32  น.","91e18c1f","f8472985",7023050,"สลัดแร็ปหมูย่าง",1,117.2913
2022-09-07,"16:46:19  น.","b2c9cb96","f8a028ce",7023050,"สลัดแร็ปหมูย่าง",1,117.2913
2022-09-07,"17:10:50  น.","888839ea","aa05d0e6",7023037,"M-สลัดอกไก่ Low uric ย่าง",1,104.8135
2022-09-07,"17:20:16  น.","b08f75cf","1a15acb9",7023048,"สลัดอะโวคาโด",1,158.881
2022-09-07,"17:23:40  น.","b5c0634a","",7001050,"Good at Heart",1,104.8135
2022-09-07,"20:57:59  น.","bcbdd1f3","b62735ad",7001049,"Flu Fighter",1,104.8135
2022-09-07,"11:54:11  น.","a9b3348d","6c0c0903",7023048,"สลัดอะโวคาโด",1,158.881
2022-09-07,"12:04:38  น.","aa37e0e3","",7023051,"สลัดแร็ปอกไก่ย่าง",1,117.2824
2022-09-07,"12:27:44  น.","a5e6db6c","917c14ec",7004034,"อเมริกาโน่ร้อน",1,71.5453
2022-09-07,"12:33:23  น.","a424b15b","85a123dc",7023037,"M-สลัดอกไก่ Low uric ย่าง",1,104.8135
